epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,9320.09,0.21075,0.15753,0.80495,0.99843,0.99786,0.9949,0.98417,0.13262,0.10357,0.76212,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9544.17,0.20911,0.15802,0.80367,0.99803,0.99752,0.99495,0.98425,0.13216,0.10276,0.7622,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9757.54,0.2101,0.15623,0.804,0.9985,0.99812,0.99496,0.9839,0.13236,0.10261,0.76259,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9959.16,0.20921,0.15643,0.80462,0.99854,0.99771,0.99496,0.98416,0.13256,0.10224,0.76262,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10197.7,0.20793,0.15533,0.80425,0.99876,0.99799,0.99496,0.98438,0.13133,0.10175,0.76257,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10340.9,0.20662,0.15436,0.80426,0.9982,0.99816,0.99496,0.98448,0.13142,0.10107,0.76256,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10459.8,0.20545,0.15415,0.80473,0.9983,0.99836,0.99497,0.98461,0.13068,0.10056,0.76245,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10577,0.20377,0.15226,0.80296,0.99808,0.99834,0.99497,0.98428,0.13041,0.10002,0.762,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10702.1,0.20511,0.15283,0.80385,0.99837,0.99812,0.99496,0.98459,0.13044,0.10085,0.76225,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10825.4,0.20319,0.15236,0.80499,0.99849,0.99833,0.99491,0.98451,0.12947,0.09872,0.76187,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
